File Name,0523FENC_qPCR.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,10/29/2025 16:02:48 UTC,,,,,,,,
Run Ended,10/29/2025 17:10:44 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,Template_30_samples_triplex.prcl,,,,,,,,
Plate Setup File Name,Template_30_samples_triplex.pltd,,,,,,,,
Base Serial Number,795BR20267,,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,
,E%,R^2,,,,,,,
FAM,100.0,0.934,,,,,,,
HEX,124.1,0.881,,,,,,,
Cy5,147.6,0.839,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Fluor,Content,Replicate,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature
F10,HEX,Unkn-30,30,NaN,NaN,0,0,0,
F11,HEX,Unkn-30,30,NaN,NaN,0,0,0,
G01,HEX,Std-07,7,23.70794584,10000000,23.73810089,0.085760855,0,
G02,HEX,Std-07,7,23.83486641,10000000,23.73810089,0.085760855,0,
G03,HEX,Std-07,7,23.67149042,10000000,23.73810089,0.085760855,0,
G04,HEX,Unkn-07,7,NaN,NaN,0,0,0,
G05,HEX,Unkn-07,7,NaN,NaN,0,0,0,
G06,HEX,Unkn-15,15,37.61569611,35.59424084,37.61116917,0.006402054,0.184541009,
G07,HEX,Unkn-15,15,37.60664224,35.85522124,37.61116917,0.006402054,0.184541009,
G08,HEX,Unkn-22,22,NaN,NaN,0,0,0,
G09,HEX,Unkn-23,23,NaN,NaN,0,0,0,
H01,HEX,Std-08,8,14.91926987,100000000,15.03644622,0.101525752,0,
H02,HEX,Std-08,8,15.091911,100000000,15.03644622,0.101525752,0,
H03,HEX,Std-08,8,15.09815779,100000000,15.03644622,0.101525752,0,
H04,HEX,Unkn-08,8,NaN,NaN,0,0,0,
H05,HEX,Unkn-08,8,NaN,NaN,0,0,0,
H06,HEX,Unkn-16,16,NaN,NaN,0,0,0,
H07,HEX,Unkn-16,16,NaN,NaN,0,0,0,
H08,HEX,Unkn-24,24,NaN,NaN,0,0,0,
H09,HEX,Unkn-24,24,NaN,NaN,0,0,0,
